DE Glut,DE GABA,DE
Tmem47,Ephb6,Tmem47
Tnfrsf21,Myadm,Tnfrsf21
Usp46,Ncdn,Usp46
Cadm3,Nlgn1,Cadm3
Cd83,Parva,Cd83
Cxcl12,Prkar1a,Cxcl12
Dbi,Ptprt,Dbi
Dlgap1,Pvrl3,Dlgap1
Dscaml1,Rap1b,Dscaml1
Flot1,Rdx,Flot1
Gria1,Shisa8,Gria1
Gria2,Slitrk2,Gria2
Hrh1,Snap47,Hrh1
Il12a,Syn1,Il12a
Itgav,Syne1,Itgav
Lgi1,Syp,Lgi1
Mapt,Tnfrsf21,Mapt
Negr1,Tshz3,Negr1
Npnt,Usp46,Npnt
Nr3c2,Tenm2,Nr3c2
Pcdh8,Mme,Pcdh8
Pten,Rasgrf1,Pten
Reln,Akt1,Reln
Robo1,Cacnb4,Robo1
Slc1a1,Camk2d,Slc1a1
Slc4a10,Dmtn,Slc4a10
Astn1,Grm5,Astn1
Crhr1,Ica1,Crhr1
Efna5,Kctd13,Efna5
Gpc6,Lrrk2,Gpc6
Myo5b,Mapt,Myo5b
Spr,Nr3c1,Spr
Syt12,Nsg1,Syt12
Tenm2,Pten,Tenm2
Tenm4,Selk,Tenm4
Bcl2,Jak1,Bcl2
Cdk5,,Cdk5
Dnajb6,,Dnajb6
Efnb2,,Efnb2
Homer1,,Homer1
Magi2,,Magi2
Ptprf,,Ptprf
Rims2,,Rims2
Tnr,,Tnr
Vgf,,Vgf
Dlg1,,Dlg1
Mbp,,Mbp
Ntrk2,,Ntrk2
Atf4,,Atf4
Clstn2,,Clstn2
Cplx3,,Cplx3
Pacsin2,,Pacsin2
App,,App
Atp2b2,,Atp2b2
Bscl2,,Bscl2
Cntn6,,Cntn6
Emb,,Emb
Gnai1,,Gnai1
Igfbp2,,Igfbp2
Pink1,,Pink1
Ppp1r9a,,Ppp1r9a
Prkar1a,,Prkar1a
Stx4a,,Stx4a
Tenm3,,Tenm3
Snap25,,Snap25
Atp2c1,,Atp2c1
Cux2,,Cux2
Glra3,,Glra3
Igfn1,,Igfn1
Lgmn,,Lgmn
Lmo7,,Lmo7
Lrrk2,,Lrrk2
Myadm,,Myadm
Peli1,,Peli1
Phip,,Phip
Ptprm,,Ptprm
Rin1,,Rin1
Sipa1l1,,Sipa1l1
Tmem25,,Tmem25
Vmp1,,Vmp1
Btbd9,,Btbd9
Cckbr,,Cckbr
Chrna6,,Chrna6
Clstn1,,Clstn1
Fmr1,,Fmr1
Grik2,,Grik2
Pfn2,,Pfn2
Shank1,,Shank1
Cdh18,,Cdh18
Ephb1,,Ephb1
Kirrel3,,Kirrel3
Cacng2,,Cacng2
Igsf9b,,Igsf9b
Kalrn,,Kalrn
Nr4a3,,Nr4a3
Sybu,,Sybu
Cdh6,,Cdh6
Ctnnb1,,Ctnnb1
Nr3c1,,Nr3c1
Syt7,,Syt7
Stxbp5,,Stxbp5
,,Calb2
,,Car2
,,Cd164
,,Cnih2
,,Cntn5
,,Cntnap4
,,Crh
,,Dscam
,,Dusp10
,,Erbb4
,,Gabbr1
,,Gnai2
,,Grin3a
,,Grm1
,,Igf1
,,Il1rap
,,Kcnc4
,,Lgals1
,,Lrrc4
,,Lrrc7
,,Ncam1
,,Ngf
,,Nos1
,,Oxtr
,,Pcdh18
,,Pde5a
,,Ptpru
,,Rgcc
,,Shisa6
,,Shisa9
,,Slc6a1
,,Slit2
,,Tac1
,,Tac2
,,Unc13c
,,Ank3
,,Asic1
,,Bsg
,,Cacng5
